REPORTING_DATE,PARTNER_ID,LOAN_ID,PRODUCT,STATUS,EXPOSURE_DRAWN,EXPOSURE_UNDRAWN,EXPOSURE,EAD,EAD_COLL,PD,LGD,SIZE,MATURITY,F_LARGE_FIN,RW,RWA
2022-12-31,hhfol234cx1214,8533766873pkbr94,CREDIT_CARD,Performing,0.0,9364.069381,9364.069381,3827.096492,0.0,0.0033503,0.549,83.76487176,1.0,N,0.536682657,2053.936316
2022-12-31,iziir190yh1535,1456775879ggvn54,CREDIT_CARD,Performing,654.6513055,3099.240143,3753.891448,1924.86654,0.0,0.0085167,0.549,48.63217239,1.0,N,0.875914246,1686.018024
2022-12-31,ejnao162yy9110,7733753444ajuc52,DEBIT_CARD,Performing,5899.388128,51564.79979,57464.18792,34712.73059,0.0,0.003019,0.5003,0.537412738,2.5,N,0.507206784,17606.53246
2022-12-31,iydca443nw7549,2494859546wunq70,INVESTMENT,Performing,190088.5449,0.0,190088.5449,190411.6047,185438.9761,0.0649469,0.015024049,1.446137203,5.0,N,0.051377031,9782.782843
2022-12-31,bzrvf864vd6106,3602959531made86,INVESTMENT,Performing,134138.6625,0.0,134138.6625,134366.5221,134366.5221,0.0058516,0.0,4.194396034,2.7260274,N,0.0,0.0
2022-12-31,hnkjk647yf5370,7869929006wqgz14,REVOLVING,Performing,957003.3041,0.0,957003.3041,965610.8192,0.0,0.0077559,0.631,2.987517932,1.0,N,0.763166009,736921.355
2022-12-31,nvhfn197vg1487,5839100777fzxg15,CREDIT_CARD,Performing,0.0,9575.545299,9575.545299,3934.591563,0.0,0.0062435,0.549,1.073905261,1.0,N,0.597639368,2351.466815
2022-12-31,jlhee471px8788,5656053660tosx52,INVESTMENT,Performing,2225431.417,0.0,2225431.417,2229214.332,2229214.332,0.0579614,0.0,8.449987193,3.16712329,N,0.0,0.0
2022-12-31,jpens409tp8740,6919567061huad98,CREDIT_CARD,Performing,1374.923823,3336.177435,4711.101258,2745.816341,0.0,0.0425271,0.549,3.781213975,1.0,N,1.205907329,3311.20005
2022-12-31,wofds328qu9648,8279360933ibas62,REVOLVING,Non Performing,290594.4451,0.0,290594.4451,290594.4451,137934.6193,1.0,0.323659727,0.458733305,1.0,N,0.135930792,39500.73305
2022-12-31,upeui616bu4098,1873394029tydy67,REVOLVING,Performing,1123673.819,25377.11015,1149050.929,1147973.987,1147973.987,0.0141508,0.0,8.266401847,1.0,N,0.0,0.0
2022-12-31,mdyuj620ew2943,1248318516ppww19,CREDIT_CARD,Performing,1478.21523,8178.597722,9656.812952,4828.487868,0.0,0.0063117,0.549,2.72433292,1.0,N,0.600916086,2901.516029
2022-12-31,tcsev577oy3234,2384767399agbz81,INVESTMENT,Performing,155164.8938,0.0,155164.8938,155428.5085,155428.5085,0.0048533,0.0,1.436474816,1.32054795,N,0.0,0.0
2022-12-31,iivgn477gq3376,3446074626xhmz75,CREDIT_CARD,Performing,738.8394997,2144.721061,2883.56056,1619.387494,0.0,0.0033042,0.549,16.66623665,1.0,N,0.448152785,725.7330153
2022-12-31,igdti422ho2517,4135957739sivi25,CREDIT_CARD,Performing,0.0,28092.20814,28092.20814,11481.28948,0.0,0.1076674,0.549,30.82255334,1.00273973,N,2.112160301,24250.32383
2022-12-31,hjved722mn2131,1783676639bryz28,INVESTMENT,Performing,306909.0772,0.0,306909.0772,307430.0731,307430.0731,0.0067337,0.0,0.366250459,4.04109589,N,0.0,0.0
2022-12-31,ojmvr389uq3019,3501009177dwvn75,REVOLVING,Performing,127286.7853,0.0,127286.7853,129067.9324,0.0,0.0075437,0.631,1.085868208,1.0,N,0.75330826,97227.93966
2022-12-31,cpnpo284ah2970,7922107370xauy73,INVESTMENT,Performing,369432.5524,0.0,369432.5524,370060.0379,370060.0379,0.010334,0.0,28.48747656,4.64109589,N,0.0,0.0
2022-12-31,vasdo640ot2722,8658770429yrvk85,CREDIT_CARD,Performing,118.9953014,5503.09461,5622.089911,2368.740943,0.0,0.0037279,0.549,80.07725957,1.0,N,0.571636081,1354.05779
2022-12-31,undsg319jb1503,3274986258sjfl83,REVOLVING,Performing,467917.4763,0.0,467917.4763,467917.4763,467917.4763,1.0,0.0,0.76931002,1.14246575,N,0.0,0.0
2022-12-31,qbrej191gv8855,5815496954iexo15,CREDIT_CARD,Performing,70.44728677,9505.701272,9576.148559,3976.877171,0.0,0.009088,0.549,1.047218668,1.0,N,0.713287017,2836.654854
2022-12-31,zwjop639nn1461,3481553896kqaw76,CREDIT_CARD,Performing,0.0,5618.441629,5618.441629,2365.360775,0.0,0.0144409,0.549,103.9921265,1.75068493,N,1.225282155,2898.234347
